,RaceId,DriverId,ConstructorId,QualifyingPosition
787,55,21,4,2
802,55,22,11,17
791,55,23,7,6
798,55,24,5,13
804,55,26,5,19
803,55,27,13,18
796,55,30,6,11
790,55,31,1,5
799,55,32,9,14
805,55,33,13,20
807,55,34,8,22
794,55,35,2,9
822,56,2,2,15
820,56,3,3,13
812,56,4,4,5
815,56,8,1,8
828,56,11,8,21
811,56,13,6,4
821,56,14,9,14
816,56,15,7,9
817,56,17,3,10
809,56,18,11,2
818,56,21,4,11
810,56,22,11,3
813,56,23,7,6
823,56,24,5,16
825,56,26,5,18
827,56,27,13,20
808,56,30,6,1
814,56,31,1,7
824,56,32,9,17
826,56,33,13,19
829,56,34,8,22
819,56,35,2,12
844,57,2,2,15
841,57,3,3,12
830,57,4,4,1
834,57,8,1,5
850,57,11,8,21
832,57,13,6,3
843,57,14,9,14
836,57,15,7,7
839,57,17,3,10
835,57,18,11,6
842,57,21,4,13
833,57,22,11,4
840,57,23,7,11
845,57,24,5,16
848,57,26,5,19
847,57,27,13,18
831,57,30,6,2
838,57,31,1,9
846,57,32,9,17
849,57,33,13,20
837,57,35,2,8
851,57,36,8,22
861,58,2,2,10
864,58,3,3,13
852,58,4,4,1
860,58,8,1,9
871,58,11,8,20
855,58,13,6,4
873,58,14,9,22
858,58,15,7,7
862,58,17,3,11
859,58,18,11,8
853,58,21,4,2
856,58,22,11,5
857,58,23,7,6
867,58,24,5,16
868,58,26,5,17
870,58,27,13,19
854,58,30,6,3
863,58,31,1,12
866,58,32,9,15
869,58,33,13,18
865,58,35,2,14
872,58,36,8,21
888,59,2,2,15
881,59,3,3,8
874,59,4,4,1
876,59,8,1,3
892,59,11,8,19
894,59,13,6,21
880,59,14,9,7
879,59,15,7,6
875,59,17,3,2
886,59,18,11,13
882,59,21,4,9
878,59,22,11,5
883,59,23,7,10
885,59,24,5,12
891,59,26,5,18
889,59,27,13,16
895,59,30,6,22
877,59,31,1,4
884,59,32,9,11
890,59,33,13,17
887,59,35,2,14
893,59,36,8,20
904,60,2,2,9
907,60,3,3,12
896,60,4,4,1
897,60,8,1,2
915,60,11,8,20
899,60,13,6,4
906,60,14,9,11
917,60,15,7,22
912,60,17,3,17
914,60,18,11,19
900,60,21,4,5
901,60,22,11,6
902,60,23,7,7
908,60,24,5,13
910,60,26,5,15
913,60,27,13,18
898,60,30,6,3
903,60,31,1,8
909,60,32,9,14
911,60,33,13,16
905,60,35,2,10
916,60,36,8,21
930,61,2,2,13
923,61,3,3,6
918,61,4,4,1
920,61,8,1,3
938,61,11,8,21
927,61,13,6,10
933,61,14,9,16
921,61,15,7,4
934,61,17,3,17
925,61,18,11,8
919,61,21,4,2
926,61,22,11,9
931,61,23,7,14
932,61,24,5,15
935,61,26,5,18
937,61,27,13,20
922,61,30,6,5
924,61,31,1,7
929,61,32,9,12
936,61,33,13,19
928,61,35,2,11
939,61,36,8,22
949,62,2,2,10
958,62,3,3,19
944,62,4,4,5
948,62,8,1,9
957,62,11,8,18
941,62,13,6,2
956,62,14,9,17
959,62,15,7,20
951,62,17,3,12
946,62,18,11,7
942,62,21,4,3
943,62,22,11,4
947,62,23,7,8
960,62,24,5,21
952,62,26,5,13
953,62,27,13,14
940,62,30,6,1
950,62,31,1,11
955,62,32,9,16
954,62,33,13,15
945,62,35,2,6
961,62,36,8,22
973,63,2,2,12
970,63,3,3,9
964,63,4,4,3
967,63,8,1,6
983,63,11,8,22
963,63,13,6,2
971,63,14,9,10
965,63,15,7,4
972,63,17,3,11
980,63,18,11,19
968,63,21,4,7
975,63,22,11,14
966,63,23,7,5
978,63,24,5,17
976,63,26,5,15
977,63,27,13,16
962,63,30,6,1
974,63,32,9,13
981,63,33,13,20
979,63,35,2,18
982,63,36,8,21
969,63,37,1,8
999,64,2,2,16
998,64,3,3,15
990,64,4,4,7
984,64,8,1,1
1002,64,11,8,19
986,64,13,6,3
993,64,14,9,10
996,64,15,7,13
994,64,17,3,11
987,64,18,11,4
988,64,21,4,5
989,64,22,11,6
991,64,23,7,8
1000,64,24,5,17
1005,64,26,5,22
1001,64,27,13,18
1004,64,29,8,21
985,64,30,6,2
995,64,32,9,12
1003,64,33,13,20
997,64,35,2,14
992,64,37,1,9
1016,65,2,2,11
1023,65,3,3,18
1020,65,4,4,15
1006,65,8,1,1
1015,65,9,2,10
1025,65,11,8,20
1007,65,13,6,2
1018,65,14,9,13
1014,65,15,7,9
1011,65,17,3,6
1009,65,18,11,4
1013,65,21,4,8
